queryid_pep	go_id	go_term	go_domain
evm.model.HIC_ASM_0.5968_Akon	GO:0005686	U2 snRNP	CC
evm.model.HIC_ASM_0.5968_Akon	GO:0005689	U12-type spliceosomal complex	CC
evm.model.HIC_ASM_0.5968_Akon	GO:0071011	precatalytic spliceosome	CC
evm.model.HIC_ASM_0.5968_Akon	GO:0000398	mRNA splicing, via spliceosome	BP
evm.model.HIC_ASM_12.3507_Akon	GO:0005739	mitochondrion	CC
evm.model.HIC_ASM_12.3507_Akon	GO:0019239	deaminase activity	MF
evm.model.HIC_ASM_12.3507_Akon	GO:0005829	cytosol	CC
evm.model.HIC_ASM_12.3507_Akon	GO:1901565	organonitrogen compound catabolic process	BP
evm.model.CTG_12623.1_Akon	GO:0005739	mitochondrion	CC
evm.model.CTG_12623.1_Akon	GO:0019239	deaminase activity	MF
evm.model.CTG_12623.1_Akon	GO:0005829	cytosol	CC
evm.model.CTG_12623.1_Akon	GO:1901565	organonitrogen compound catabolic process	BP
evm.model.HIC_ASM_0.6057_Akon	GO:0003735	structural constituent of ribosome	MF
evm.model.HIC_ASM_0.6057_Akon	GO:0005840	ribosome	CC
evm.model.HIC_ASM_0.6057_Akon	GO:0006412	translation	BP
evm.model.HIC_ASM_11.906_Akon	GO:0044545	NSL complex	CC
evm.model.HIC_ASM_11.906_Akon	GO:0043982	histone H4-K8 acetylation	BP
evm.model.HIC_ASM_11.906_Akon	GO:0043981	histone H4-K5 acetylation	BP
evm.model.HIC_ASM_11.906_Akon	GO:0043984	histone H4-K16 acetylation	BP
evm.model.CTG_19372.2_Akon	GO:0006338	chromatin remodeling	BP
evm.model.CTG_19372.2_Akon	GO:0035097	histone methyltransferase complex	CC
evm.model.CTG_19372.2_Akon	GO:0005634	nucleus	CC
evm.model.CTG_19372.2_Akon	GO:0034647	histone demethylase activity (H3-trimethyl-K4 specific)	MF
evm.model.CTG_19372.2_Akon	GO:0032452	histone demethylase activity	MF
evm.model.HIC_ASM_7.1018_Akon	GO:0009443	pyridoxal 5'-phosphate salvage	BP
evm.model.HIC_ASM_7.1018_Akon	GO:0008478	pyridoxal kinase activity	MF
evm.model.HIC_ASM_0.5698_Akon	GO:0016740	transferase activity	MF
evm.model.HIC_ASM_0.5698_Akon	GO:0005542	folic acid binding	MF
evm.model.HIC_ASM_0.5714_Akon	GO:0016740	transferase activity	MF
evm.model.HIC_ASM_0.5714_Akon	GO:0005542	folic acid binding	MF
evm.model.CTG_7580.31_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_7580.31_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_6.6031_Akon	GO:0000139	Golgi membrane	CC
evm.model.HIC_ASM_6.6031_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_6.6031_Akon	GO:0072657	protein localization to membrane	BP
evm.model.HIC_ASM_6.6031_Akon	GO:0016020	membrane	CC
evm.model.HIC_ASM_6.6031_Akon	GO:0010008	endosome membrane	CC
evm.model.HIC_ASM_1.906_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_1.906_Akon	GO:0006986	response to unfolded protein	BP
evm.model.HIC_ASM_1.906_Akon	GO:0031072	heat shock protein binding	MF
evm.model.HIC_ASM_1.906_Akon	GO:0034620	cellular response to unfolded protein	BP
evm.model.HIC_ASM_1.906_Akon	GO:0051082	unfolded protein binding	MF
evm.model.HIC_ASM_1.906_Akon	GO:0051085	chaperone cofactor-dependent protein refolding	BP
evm.model.HIC_ASM_1.906_Akon	GO:0042026	protein refolding	BP
evm.model.HIC_ASM_1.906_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_1.906_Akon	GO:0051787	misfolded protein binding	MF
