queryid_pep	pfam_id	pfam_description
evm.model.HIC_ASM_6.147_Akon	PF13472	GDSL-like Lipase/Acylhydrolase family
evm.model.HIC_ASM_0.5968_Akon	PF03660	PHF5-like protein
evm.model.CTG_12623.1_Akon	PF01042	Endoribonuclease L-PSP
evm.model.HIC_ASM_12.3507_Akon	PF01042	Endoribonuclease L-PSP
evm.model.HIC_ASM_0.6057_Akon	PF01197	Ribosomal protein L31
evm.model.CTG_19372.2_Akon	PF02373	JmjC domain, hydroxylase
evm.model.CTG_19372.2_Akon	PF02375	jmjN domain
evm.model.HIC_ASM_0.5714_Akon	PF07837	Formiminotransferase domain, N-terminal subdomain
evm.model.HIC_ASM_0.5698_Akon	PF07837	Formiminotransferase domain, N-terminal subdomain
evm.model.CTG_7580.31_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_6.6031_Akon	PF02990	Endomembrane protein 70
evm.model.HIC_ASM_1.906_Akon	PF00012	Hsp70 protein
evm.model.CTG_3760.1_Akon	PF04398	Protein of unknown function, DUF538
evm.model.HIC_ASM_4.2957_Akon	PF04398	Protein of unknown function, DUF538
evm.model.HIC_ASM_4.2954_Akon	PF04398	Protein of unknown function, DUF538
evm.model.CTG_3760.4_Akon	PF04398	Protein of unknown function, DUF538
evm.model.HIC_ASM_4.222_Akon	PF00106	short chain dehydrogenase
evm.model.HIC_ASM_3.1478_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_7.3557.1_Akon	PF17284	Spermidine synthase tetramerisation domain
evm.model.HIC_ASM_9.547_Akon	PF13867	Sin3 binding region of histone deacetylase complex subunit SAP30
evm.model.HIC_ASM_5.2800_Akon	PF16166	Chloroplast import apparatus Tic20-like
evm.model.HIC_ASM_11.957_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_11.957_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_11.972_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_11.972_Akon	PF08263	Leucine rich repeat N-terminal domain
evm.model.HIC_ASM_11.1789_Akon	PF00004	ATPase family associated with various cellular activities (AAA)
evm.model.HIC_ASM_11.1789_Akon	PF08542	Replication factor C C-terminal domain
evm.model.HIC_ASM_11.1802_Akon	PF08542	Replication factor C C-terminal domain
evm.model.HIC_ASM_11.1802_Akon	PF00004	ATPase family associated with various cellular activities (AAA)
evm.model.HIC_ASM_1.1134_Akon	PF08613	Cyclin
evm.model.HIC_ASM_1.1145_Akon	PF08613	Cyclin
evm.model.HIC_ASM_4.12286_Akon	PF03141	Putative S-adenosyl-L-methionine-dependent methyltransferase
evm.model.CTG_10841.9_Akon	PF00188	Cysteine-rich secretory protein family
evm.model.HIC_ASM_4.471_Akon	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
evm.model.HIC_ASM_8.947_Akon	PF00112	Papain family cysteine protease
